crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Sweet potato,1997,Whole Year ,Assam,9.14644164612595,10.392650219665859,2051.4,13.702000928287825,2907.8,3.440434783
Tapioca,1997,Whole Year ,Assam,7.81035268372429,9.369819686521504,2051.4,12.365616115234664,764.15,4.41826087
Tobacco,1997,Whole Year ,Assam,6.073044534100405,3.295836866004329,2051.4,10.626426760565684,134.23,0.38
Turmeric,1997,Whole Year ,Assam,9.217514575724183,8.850087606689566,2051.4,13.7730810950754,3122.01,0.67
Wheat,1997,Rabi       ,Assam,11.346859074195008,11.608735519816204,2051.4,15.902512157753291,26256.38,1.25952381
Arecanut,1997,Whole Year ,Karnataka,11.441440204346033,11.800680034794011,1266.7,15.997094342212057,28861.0,1.293571429
Arhar/Tur,1997,Kharif     ,Karnataka,12.952312625397058,11.497547832925905,1266.7,17.507975045659016,130761.1,0.268235294
Bajra,1997,Kharif     ,Karnataka,12.615363758471867,11.790988926543687,1266.7,17.171025238837665,93356.19,0.404545455
Bajra,1997,Summer     ,Karnataka,6.710523109452428,6.4967749901858625,1266.7,11.264981920300539,254.2,0.81
Black pepper,1997,Kharif     ,Karnataka,8.249575150000199,6.829793737512425,1266.7,12.804981259403304,1185.75,0.4375
Cardamom,1997,Whole Year ,Karnataka,9.963217656743895,7.102499355774649,1266.7,14.518835815718449,6581.3,0.058571429
Coriander,1997,Whole Year ,Karnataka,9.759501702007746,7.956476798036782,1266.7,14.315109329810653,5368.27,0.121333333
Dry chillies,1997,Kharif     ,Karnataka,12.136615380514952,11.84371731297441,1266.7,16.69227484327028,57839.49,1.078333333
Dry chillies,1997,Rabi       ,Karnataka,8.42639282708974,8.974111581113318,1266.7,12.981840860865956,1415.15,1.869444444
Garlic,1997,Whole Year ,Karnataka,8.529516941105069,8.242756345714477,1266.7,13.084986213469435,1568.91,1.585
Ginger,1997,Kharif     ,Karnataka,8.194229304819817,8.465057436995709,1266.7,12.749620693073696,1121.89,1.262307692
Groundnut,1997,Kharif     ,Karnataka,13.650243148972404,13.172225347936438,1266.7,18.20590674774324,262776.46,0.709411765
Groundnut,1997,Rabi       ,Karnataka,12.167420170898799,12.106650021205724,1266.7,16.723079794531856,59648.96,1.133333333
Horse-gram,1997,Kharif     ,Karnataka,12.09443133580393,11.291343194222971,1266.7,16.650090570057085,55450.32,0.45
Horse-gram,1997,Rabi       ,Karnataka,12.002572395094873,11.32143802955998,1266.7,16.558231097127944,50583.63,0.514705882
Jowar,1997,Kharif     ,Karnataka,12.873109396371893,13.154044198415297,1266.7,17.42877162328089,120803.9,1.228
Jowar,1997,Rabi       ,Karnataka,14.221757360469748,13.490851865830209,1266.7,18.777421467127596,465363.32,0.510714286
Jowar,1997,Summer     ,Karnataka,8.722254235179681,9.62483129129166,1266.7,13.277757780629758,1902.47,2.470909091
Maize,1997,Kharif     ,Karnataka,13.127943777965577,14.145629081000497,1266.7,17.68360657607569,155867.07,2.687777778
Maize,1997,Rabi       ,Karnataka,10.796407298087043,11.50219813232934,1266.7,15.352051806161064,15141.64,1.98
Maize,1997,Summer     ,Karnataka,9.18307194482199,9.947217315397454,1266.7,13.738635021172545,3016.3,2.165714286
Ragi,1997,Kharif     ,Karnataka,13.70783848382362,14.009664337108616,1266.7,18.26350214792682,278355.51,1.191333333
Ragi,1997,Rabi       ,Karnataka,10.207473491694438,10.425164091606355,1266.7,14.763101751209838,8402.24,1.312222222
Ragi,1997,Summer     ,Karnataka,9.512073267650623,10.128070068044591,1266.7,14.067664854568132,4191.51,1.847777778
Rice,1997,Kharif     ,Karnataka,13.846554664362259,14.66587257616418,1266.7,18.402218471199564,319774.3,2.2335
Rice,1997,Rabi       ,Karnataka,10.894700210927542,11.602318171010516,1266.7,15.450346615505552,16705.59,2.073846154
Rice,1997,Summer     ,Karnataka,12.498910155845374,13.544698712948563,1266.7,17.05457123040651,83093.64,2.829444444
Sugarcane,1997,Whole Year ,Karnataka,12.640636903330266,17.182781215220125,1266.7,17.19629846569607,95745.67,91.74736842
Turmeric,1997,Whole Year ,Karnataka,8.376320632534823,10.0903404937493,1266.7,12.931757536490283,1346.02,4.452941176
Wheat,1997,Rabi       ,Karnataka,12.432008295307156,11.682777938181559,1266.7,16.9876691144493,77716.38,0.548333333
Arecanut,1997,Whole Year ,Kerala,11.240407829038219,11.45100750715524,3252.4,15.796059600363504,23604.95,1.147857143
Black pepper,1997,Whole Year ,Kerala,12.06598264935125,10.924516606545858,3252.4,16.621641723970708,53895.05,0.240714286
Cashewnut,1997,Whole Year ,Kerala,11.472874006843877,11.21375093987313,3252.4,16.02852847360071,29782.63,0.589285714
Coconut ,1997,Whole Year ,Kerala,13.692602536976883,22.373845692903625,3252.4,18.24826618416179,274146.64,5376.054286
Tapioca,1997,Whole Year ,Kerala,11.79717164148611,14.859955249954295,3252.4,16.352828960806676,41191.25,22.80357143
Arecanut,1997,Whole Year ,Meghalaya,9.166388484447,9.402364704231523,3818.2,13.721949849941382,2966.39,1.245714286
Arhar/Tur,1997,Kharif     ,Meghalaya,6.763884908562435,6.52795791762255,3818.2,11.318406420356077,268.15,0.806666667
Banana,1997,Whole Year ,Meghalaya,8.564076777315087,11.05108046342586,3818.2,13.119552691123763,1624.09,11.20714286
Castor seed,1997,Rabi       ,Meghalaya,3.4339872044851463,2.772588722239781,3818.2,7.957212336852101,9.3,0.49
Cotton(lint),1997,Kharif     ,Meghalaya,8.928640371201949,8.628913441026645,3818.2,13.48417398322702,2338.64,0.796666667
Dry chillies,1997,Whole Year ,Meghalaya,7.4770384723196965,7.009408932708637,3818.2,12.032143097124495,547.46,0.64
Ginger,1997,Kharif     ,Meghalaya,8.90354343566472,10.720201013508184,3818.2,13.459073714248863,2280.67,6.054285714
Gram,1997,Rabi       ,Meghalaya,6.095824562432225,5.602118820879701,3818.2,10.649258254838777,137.33,0.613333333
Jute,1997,Kharif     ,Meghalaya,8.353261499733874,10.454033764497051,3818.2,12.908693087718314,1315.33,8.436666667
Linseed,1997,Kharif     ,Meghalaya,3.9318256327243257,3.1354942159291497,3818.2,8.46789789969136,15.5,0.44
Maize,1997,Kharif     ,Meghalaya,9.751268339558617,10.121779353119313,3818.2,14.306875494965757,5324.25,1.444285714
Mesta,1997,Kharif     ,Meghalaya,8.452974619089586,9.978548641758007,3818.2,13.008428338702256,1453.28,4.68
Mesta,1997,Whole Year ,Meghalaya,6.759255270663693,6.570882962339584,3818.2,11.313771474285218,266.91,0.7525
Other  Rabi pulses,1997,Rabi       ,Meghalaya,7.554858521040676,7.321188556739478,3818.2,12.11000509399227,591.79,0.777142857
Potato,1997,Whole Year ,Meghalaya,9.941024156064854,12.20861939979675,3818.2,14.496641269075978,6436.84,8.641428571
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,8.841448244098858,8.404696160189092,3818.2,13.39696990630908,2143.34,0.608571429
Rice,1997,Kharif     ,Meghalaya,11.563342875883817,11.91907034198315,3818.2,16.118998233508112,32602.7,1.378571429
Sesamum,1997,Kharif     ,Meghalaya,7.190676034332207,6.535241271013659,3818.2,11.745594861016516,411.06,0.575714286
Small millets,1997,Kharif     ,Meghalaya,7.9391588179567965,7.71333788887187,3818.2,12.494470761561551,869.24,0.861428571
Soyabean,1997,Kharif     ,Meghalaya,6.80128303447162,6.703188113240863,3818.2,11.355846535334557,278.38,0.921428571
Sugarcane,1997,Whole Year ,Meghalaya,4.418840607796598,5.420534999272286,3818.2,8.9625121455401,25.42,2.352
Sweet potato,1997,Whole Year ,Meghalaya,8.558910784768106,9.739732565316011,3818.2,13.114385720350146,1615.72,3.221428571
Tapioca,1997,Whole Year ,Meghalaya,8.283999304248526,9.956459437302234,3818.2,12.839414167269425,1227.29,6.537142857
Tobacco,1997,Rabi       ,Meghalaya,6.610696044717759,6.226536669287466,3818.2,11.165028170219927,230.02,0.618
Turmeric,1997,Whole Year ,Meghalaya,7.2456550675945355,8.871645667501872,3818.2,11.800613812402322,434.31,5.425714286
Wheat,1997,Rabi       ,Meghalaya,8.363575702750637,8.838551790227402,3818.2,12.919009683696924,1328.97,1.385
Arecanut,1997,Whole Year ,West Bengal,8.994544758324512,9.427385364828522,1852.9,13.55008673581991,2497.98,1.691764706
Arhar/Tur,1997,Whole Year ,West Bengal,8.197263371414335,7.687997166393016,1852.9,12.752655587970605,1125.3,0.777692308
Bajra,1997,Kharif     ,West Bengal,5.337538079701318,4.564348191467836,1852.9,9.888434318993076,64.17,0.426666667
Barley,1997,Whole Year ,West Bengal,8.718827059242566,8.524168805152662,1852.9,13.274330051168496,1895.96,1.68
Cardamom,1997,Whole Year ,West Bengal,7.891704659330107,2.0794415416798357,1852.9,12.44699945324959,828.94,0.0
Castor seed,1997,Whole Year ,West Bengal,6.493753839851686,3.8501476017100584,1852.9,11.047920521452042,204.6,0.07
Coconut ,1997,Whole Year ,West Bengal,10.097161097666307,19.5397565558559,1852.9,14.652785099449032,7524.63,13003.78778
Cotton(lint),1997,Kharif     ,West Bengal,10.165890277802454,10.859018228147887,1852.9,14.7215169872229,8060.0,2.0
Dry chillies,1997,Whole Year ,West Bengal,11.067185087860173,10.925398766273966,1852.9,15.622834401455439,19850.54,0.942777778
Gram,1997,Rabi       ,West Bengal,10.145884560772224,9.740674462130217,1852.9,14.701510501160168,7900.35,0.5975
Groundnut,1997,Whole Year ,West Bengal,10.296070034813278,10.562896961111214,1852.9,14.851701389598999,9180.65,1.13
Horse-gram,1997,Kharif     ,West Bengal,8.638702608813434,7.846589975291186,1852.9,13.194192104050316,1749.95,0.438888889
Jowar,1997,Whole Year ,West Bengal,6.855408798609928,6.111467339502679,1852.9,11.410030352152186,293.88,0.482
Jute,1997,Kharif     ,West Bengal,13.371681369688002,15.837018517791995,1852.9,17.927344593484523,198887.94,13.44588235
Khesari,1997,Rabi       ,West Bengal,10.13705656933392,10.256290008060986,1852.9,14.692682165444834,7830.91,1.095882353
Linseed,1997,Whole Year ,West Bengal,9.710327470561179,8.345455428161928,1852.9,14.265932218316975,5110.66,0.251538462
Maize,1997,Whole Year ,West Bengal,10.476442547767668,11.778292907687902,1852.9,15.032079416860402,10995.39,2.658461538
Masoor,1997,Rabi       ,West Bengal,10.843553403061053,10.464274083455889,1852.9,15.399198844065754,15872.62,0.662352941
Mesta,1997,Kharif     ,West Bengal,9.178849704884811,11.39640288460621,1852.9,13.734412350947238,3003.59,9.154166667
Moong(Green Gram),1997,Kharif     ,West Bengal,7.307202314764738,6.568077911411976,1852.9,11.862203217020953,461.9,0.548888889
Moong(Green Gram),1997,Rabi       ,West Bengal,8.0925452638913,7.444833273892193,1852.9,12.647907387092948,1013.39,0.542857143
Moong(Green Gram),1997,Summer     ,West Bengal,9.206332350578643,5.717027701406222,1852.9,13.761897765092439,3087.29,0.046
Niger seed,1997,Rabi       ,West Bengal,17.743566368338897,17.47024621554637,1852.9,22.299231114948057,15750511.0,0.698888889
Niger seed,1997,Whole Year ,West Bengal,8.781555458546402,8.167068178341237,1852.9,13.337068287326886,2018.72,0.40375
Other Kharif pulses,1997,Kharif     ,West Bengal,7.154615356913663,6.587550014824796,1852.9,11.709506783042071,396.49,0.585
Potato,1997,Whole Year ,West Bengal,12.556785853584586,15.534977790208721,1852.9,17.11244713573057,88044.65,18.23722222
Ragi,1997,Autumn     ,West Bengal,9.44208681209766,9.637632201310455,1852.9,13.99767309378173,3908.17,0.986
Rapeseed &Mustard,1997,Whole Year ,West Bengal,12.698094582892352,12.433012979932682,1852.9,17.25375632414815,101408.13,0.718333333
Rice,1997,Autumn     ,West Bengal,12.955415832520144,13.530453038358585,1852.9,17.5110782600504,131167.51,1.837222222
Rice,1997,Summer     ,West Bengal,14.003507645089648,15.087941971084263,1852.9,18.559171591001945,374116.99,2.843888889
Rice,1997,Winter     ,West Bengal,15.267201431417,16.003257138435618,1852.9,19.82286596588624,1323801.68,1.985555556
Safflower,1997,Whole Year ,West Bengal,9.287394001418473,8.006700845440367,1852.9,13.842967152113948,3348.0,0.2975
Sannhamp,1997,Whole Year ,West Bengal,7.60887062919126,9.113168460223909,1852.9,12.164044455098026,624.65,4.598571429
Sesamum,1997,Whole Year ,West Bengal,11.759113442092596,11.395762237193251,1852.9,16.31477047253951,39653.03,0.649444444
Small millets,1997,Whole Year ,West Bengal,8.526549286340263,8.078067881815437,1852.9,13.082017977628087,1564.26,0.626666667
Soyabean,1997,Kharif     ,West Bengal,7.349873704738337,7.067319848653476,1852.9,11.90490234791776,482.05,1.196666667
Sugarcane,1997,Whole Year ,West Bengal,10.158052248525081,14.413633067958253,1852.9,14.713678658478479,7997.07,67.83625
Sunflower,1997,Whole Year ,West Bengal,5.631211781821365,0.6931471805599453,1852.9,10.183323675869499,86.18,0.0
Turmeric,1997,Whole Year ,West Bengal,9.432042885493988,10.067178295192607,1852.9,13.98762837488304,3869.11,1.661111111
Urad,1997,Kharif     ,West Bengal,11.145796063127637,10.702817410686135,1852.9,15.701446544947624,21474.01,1.825
Urad,1997,Rabi       ,West Bengal,9.722864552377755,9.264260213965613,1852.9,14.278470047913261,5175.14,0.628333333
Wheat,1997,Rabi       ,West Bengal,12.814138403721218,13.605383177563537,1852.9,17.369800476389152,113885.94,1.886666667
Arecanut,1998,Kharif     ,Puducherry,4.204692619390966,3.1780538303479458,1434.5875,8.782905690439021,19.14,0.35
Bajra,1998,Kharif     ,Puducherry,5.0106352940962555,5.783825182329737,1434.5875,9.597111837637094,43.21,2.17
Black pepper,1998,Kharif     ,Puducherry,2.5649493574615367,2.0794415416798357,1434.5875,7.078847353824543,3.48,0.58
Coriander,1998,Kharif     ,Puducherry,1.0986122886681098,0.6931471805599453,1434.5875,5.291292751611072,0.58,0.5
Cotton(lint),1998,Summer     ,Puducherry,6.118097198041348,5.921578419643816,1434.5875,10.709012073160517,131.37,0.84
Dry chillies,1998,Kharif     ,Puducherry,2.1972245773362196,3.1780538303479458,1434.5875,6.673803528951324,2.32,2.75
Groundnut,1998,Rabi       ,Puducherry,6.953684210870537,7.631916513071252,1434.5875,11.545835925677467,303.34,1.54
Onion,1998,Kharif     ,Puducherry,3.295836866004329,6.063785208687608,1434.5875,7.851583353849381,7.54,16.5
Ragi,1998,Kharif     ,Puducherry,4.727387818712341,5.905361848054571,1434.5875,9.31168684212194,32.48,3.27
Rice,1998,Kharif     ,Puducherry,8.506334448081361,9.351753124926507,1434.5875,13.099231895614908,1434.05,2.46
Rice,1998,Rabi       ,Puducherry,9.544094632530348,10.316292325947678,1434.5875,14.137121336723046,4048.69,2.555
Rice,1998,Summer     ,Puducherry,8.651199471263972,9.606697461053619,1434.5875,13.244123914525856,1657.64,2.55
Sesamum,1998,Kharif     ,Puducherry,4.997212273764115,4.795790545596741,1434.5875,9.58359904261458,42.63,0.806666667
Small millets,1998,Kharif     ,Puducherry,1.6094379124341003,1.3862943611198906,1434.5875,5.981919134264451,1.16,0.75
Sugarcane,1998,Kharif     ,Puducherry,7.905072849498666,12.356086207847659,1434.5875,12.497805253475757,785.9,82.595
Tapioca,1998,Kharif     ,Puducherry,6.476972362889683,9.858019364488982,1434.5875,11.06854591680239,188.21,20.0
Arecanut,1998,Whole Year ,Assam,11.217990487006878,10.92154033334582,2354.4,15.811074797217165,21592.53,0.784347826
Arhar/Tur,1998,Kharif     ,Assam,8.943506132037239,8.592300663903043,2354.4,13.536474467722869,2220.53,0.709130435
Banana,1998,Whole Year ,Assam,10.642706921198457,13.27402811268749,2354.4,15.235780892990443,12146.65,13.78826087
Castor seed,1998,Kharif     ,Assam,7.455298485683291,6.5638555265321274,2354.4,12.047823411425606,501.12,0.411428571
Coconut ,1998,Whole Year ,Assam,9.911802884139842,18.8252521261398,2354.4,14.504851403613904,5848.14,6045.886957
Cotton(lint),1998,Kharif     ,Assam,7.410347097821024,6.62273632394984,2354.4,12.002845685606225,479.08,0.399130435
Dry chillies,1998,Whole Year ,Assam,9.597302008519787,9.17895289873455,2354.4,14.190332386664714,4269.96,0.636956522
Gram,1998,Rabi       ,Assam,8.00736706798333,7.315883504509785,2354.4,12.600134988512995,870.58,0.460454545
Jute,1998,Kharif     ,Assam,11.273436553119883,13.44034281424493,2354.4,15.866521580401846,22823.58,9.040869565
Linseed,1998,Rabi       ,Assam,9.232395362757014,8.558910784768106,2354.4,13.825396134245663,2964.38,0.480909091
Maize,1998,Kharif     ,Assam,9.893992617974327,9.54438108340598,2354.4,14.487040255372966,5744.9,0.608695652
Mesta,1998,Kharif     ,Assam,8.568076401730806,10.151284691288994,2354.4,13.160985834715188,1525.4,4.9105
Niger seed,1998,Kharif     ,Assam,9.07726601775084,8.4071550862073,2354.4,13.67025053882713,2538.37,0.520555556
Onion,1998,Whole Year ,Assam,8.997642078523512,9.81694879111889,2354.4,13.59061722667759,2344.07,2.340434783
Other  Rabi pulses,1998,Rabi       ,Assam,11.6625688593736,11.040214173312895,2354.4,16.25565794108872,33680.89,0.50826087
Potato,1998,Whole Year ,Assam,11.251028091492175,13.322979889580411,2354.4,15.84411283374897,22317.82,7.230434783
Rapeseed &Mustard,1998,Rabi       ,Assam,12.573593558722195,11.817700614848187,2354.4,17.166687736268873,83760.41,0.473478261
Rice,1998,Autumn     ,Assam,13.296283070517443,13.16274879663946,2354.4,17.889379011552542,172543.91,1.055652174
Rice,1998,Summer     ,Assam,12.319017328546305,13.008332045298872,2354.4,16.912110512492447,64934.77,1.685217391
Rice,1998,Winter     ,Assam,14.30729463673746,14.643238892456484,2354.4,18.900391636146324,474216.7,1.395652174
Sesamum,1998,Kharif     ,Assam,9.676649685633647,9.01322999770879,2354.4,14.269685192070066,4622.6,0.485217391
Small millets,1998,Kharif     ,Assam,9.263691547473178,8.603554357064281,2354.4,13.85669530268272,3058.63,0.521363636
Sugarcane,1998,Whole Year ,Assam,10.327839836362775,14.017290728640212,2354.4,14.920905061992945,8865.59,39.89304348
Sweet potato,1998,Whole Year ,Assam,9.152075463844207,10.387085854047635,2354.4,13.745068136387038,2735.57,3.435652174
Tapioca,1998,Whole Year ,Assam,7.937017489515454,9.492658081928813,2354.4,12.529761377362803,811.42,4.445217391
Tobacco,1998,Whole Year ,Assam,7.290292882446597,6.597145701886651,2354.4,11.882715035025827,424.85,0.569545455
Turmeric,1998,Whole Year ,Assam,9.280798835624744,8.911529941736559,2354.4,13.873804182763923,3111.41,0.666956522
Wheat,1998,Rabi       ,Assam,11.40302130926253,11.413215620821216,2354.4,15.99610786521723,25981.39,0.999545455
Arecanut,1998,Whole Year ,Goa,7.313886831633462,7.507141079727608,2964.9,11.906324739459684,435.0,1.21
Banana,1998,Whole Year ,Goa,7.550135342488429,9.575052927597383,2964.9,12.142712096977055,551.0,7.58
Black pepper,1998,Whole Year ,Goa,5.5254529391317835,4.2626798770413155,2964.9,10.114599007626499,72.5,0.28
Cashewnut,1998,Whole Year ,Goa,10.87570482869929,9.61587214452889,2964.9,15.468783712524747,15333.75,0.28
Coconut ,1998,Whole Year ,Goa,10.120975138994181,18.61130111182548,2964.9,14.714032923230228,7208.82,4867.65
Groundnut,1998,Kharif     ,Goa,5.860786223465865,6.023447592961033,2964.9,10.451059677269122,101.5,1.18
Groundnut,1998,Rabi       ,Goa,6.955592608396297,7.661527081358517,2964.9,11.547746127467457,303.92,2.03
Other  Rabi pulses,1998,Rabi       ,Goa,9.067854723679428,9.129238770539141,2964.9,13.660838175407143,2514.59,1.06
Other Kharif pulses,1998,Kharif     ,Goa,7.0909098220799835,5.783825182329737,2964.9,11.68318287504225,348.0,0.27
Ragi,1998,Kharif     ,Goa,7.824445930877619,7.814803429489359,2964.9,12.417147664184915,725.0,0.99
Rice,1998,Kharif     ,Goa,10.62135173563291,11.554547139661048,2964.9,15.214425197305053,11890.0,2.54
Rice,1998,Rabi       ,Goa,9.644716823578767,10.756327171829666,2964.9,14.237750314972805,4477.31,3.04
Sugarcane,1998,Whole Year ,Goa,7.186144304522325,11.06665398721974,2964.9,11.778492288075666,382.8,48.48
Arecanut,1998,Whole Year ,Karnataka,11.493212433660208,13.382210630701374,1260.8,16.08629994250652,28433.63,6.232
Arhar/Tur,1998,Kharif     ,Karnataka,13.07190552341293,12.307970171956333,1260.8,17.665001045950053,137864.84,0.400833333
Bajra,1998,Kharif     ,Karnataka,12.938000538611163,12.550484706727644,1260.8,17.531095762799207,120586.64,0.601764706
Bajra,1998,Rabi       ,Karnataka,6.113682179832232,6.285998094508865,1260.8,10.704587386260751,130.79,1.19
Bajra,1998,Summer     ,Karnataka,6.741700694652055,6.212606095751519,1260.8,11.33362892818622,245.34,0.59
Black pepper,1998,Whole Year ,Karnataka,8.38662882139512,9.244065241377804,1260.8,12.979500813065195,1272.23,2.238
Cardamom,1998,Whole Year ,Karnataka,9.914378035367301,7.050989447068045,1260.8,14.507426681083858,5863.22,0.06
Castor seed,1998,Kharif     ,Karnataka,10.21269870228773,10.053888353203654,1260.8,14.805759976563921,7901.34,0.831818182
Coconut ,1998,Whole Year ,Karnataka,12.645617067291202,21.200449875863107,1260.8,17.23871148299824,90015.71,4692.261111
Coriander,1998,Whole Year ,Karnataka,9.79456514531194,8.000684784514748,1260.8,14.387607559061138,5201.15,0.118
Cotton(lint),1998,Kharif     ,Karnataka,13.363733412592216,13.792116027500631,1260.8,17.956829462144885,184583.55,1.556521739
Dry chillies,1998,Whole Year ,Karnataka,12.045434299567361,11.894773881477395,1260.8,16.638526092429338,49392.51,1.123703704
Garlic,1998,Whole Year ,Karnataka,8.181720455128108,8.017966703493599,1260.8,12.774541132438264,1036.46,1.459411765
Ginger,1998,Kharif     ,Karnataka,8.26796230533871,10.842908701799137,1260.8,12.860805867422906,1129.84,12.75944444
Gram,1998,Rabi       ,Karnataka,12.7807937712412,12.21853960898555,1260.8,17.373888590166978,103044.54,0.573478261
Groundnut,1998,Kharif     ,Karnataka,13.828010112032668,13.741882316875047,1260.8,18.421106739203502,293647.33,0.8568
Groundnut,1998,Rabi       ,Karnataka,12.289705822823253,12.480361680308437,1260.8,16.882798875270776,63059.05,1.3052
Horse-gram,1998,Kharif     ,Karnataka,12.152075699568309,11.415522095973136,1260.8,16.745168080316642,54950.94,0.504615385
Horse-gram,1998,Rabi       ,Karnataka,11.811399098500209,11.036259692850942,1260.8,16.404489358824755,39085.91,0.4492
Jowar,1998,Kharif     ,Karnataka,12.94993432800962,13.332050394311294,1260.8,17.543029580438024,122034.32,1.305714286
Jowar,1998,Rabi       ,Karnataka,14.166282211722116,13.818955616928195,1260.8,18.75937911945814,411846.98,0.7235
Jowar,1998,Summer     ,Karnataka,9.093581811365986,10.04953405346537,1260.8,13.686568162623827,2580.13,2.461333333
Linseed,1998,Rabi       ,Karnataka,9.893790689557264,8.770594329891145,1260.8,14.486838316864803,5743.74,0.315
Maize,1998,Kharif     ,Karnataka,13.018053420827126,14.248985048518115,1260.8,17.61114882815817,130636.88,3.366
Maize,1998,Rabi       ,Karnataka,10.818237097391455,11.528857867500944,1260.8,15.411314873842564,14477.38,1.97952381
Maize,1998,Summer     ,Karnataka,9.390576422279116,10.206587653966265,1260.8,13.983591361525006,3472.46,2.241904762
Moong(Green Gram),1998,Kharif     ,Karnataka,12.649863835959538,11.022359880211598,1260.8,17.242958265181027,90398.8,0.180769231
Moong(Green Gram),1998,Rabi       ,Karnataka,9.656819456174961,8.854522203757432,1260.8,14.249853718857288,4531.83,0.438823529
Niger seed,1998,Kharif     ,Karnataka,10.641942650800615,9.000236434169777,1260.8,15.23501660452351,12137.37,0.214782609
Onion,1998,Kharif     ,Karnataka,11.288806438034339,12.7995486509537,1260.8,15.88189165715376,23177.09,5.363636364
Onion,1998,Rabi       ,Karnataka,9.0918946167697,11.419251945107048,1260.8,13.684880780152337,2575.78,8.936315789
Onion,1998,Summer     ,Karnataka,8.47595444339964,10.921251253340916,1260.8,13.06884571620936,1391.13,11.86631579
Peas & beans (Pulses),1998,Kharif     ,Karnataka,7.456454555176209,9.672374831572242,1260.8,12.048980142781994,501.7,9.265882353
Peas & beans (Pulses),1998,Rabi       ,Karnataka,6.20455776256869,8.49351506406166,1260.8,10.795653610512197,143.26,8.948181818
Peas & beans (Pulses),1998,Summer     ,Karnataka,7.367708572374371,9.525734882994499,1260.8,11.960181058459934,459.07,7.827
Potato,1998,Kharif     ,Karnataka,10.266601720103763,12.666824231313344,1260.8,14.859664900891094,8338.95,12.37333333
Potato,1998,Rabi       ,Karnataka,8.336630087637147,11.315997755786912,1260.8,12.929490510805527,1210.17,18.90714286
Potato,1998,Summer     ,Karnataka,7.037027614686276,9.872409596965266,1260.8,11.629255000362265,329.73,17.6
Potato,1998,Whole Year ,Karnataka,5.594711379601839,8.271548374755515,1260.8,10.184122351183962,77.72,14.59
Ragi,1998,Kharif     ,Karnataka,13.801588088603905,14.325196332348714,1260.8,18.394684689600744,285990.17,1.418
Ragi,1998,Rabi       ,Karnataka,10.429221493035238,10.721106460606913,1260.8,15.02228984044369,9811.57,1.361
Ragi,1998,Summer     ,Karnataka,9.27556615689389,10.086184039035157,1260.8,13.86857101999091,3095.17,2.239230769
